Ref,Val,Package,PosX,PosY,Rot,Side
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",176.000000,-141.500000,-90.000000,bottom
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.000000,-141.000000,90.000000,bottom
"IC1-L1","ICS-43432","ICS43432",179.500000,-140.000000,-90.000000,bottom
"IC2-R1","ICS-43432","ICS43432",111.500000,-139.600000,-90.000000,bottom
